account_id,username_length,username_digit_ratio,has_profile_pic,bio_length,has_external_url,is_private,followers_count,following_count,follower_following_ratio,posts_count,avg_likes_per_post,avg_comments_per_post,posting_freq_per_week,account_age_days,engagement_rate,night_activity_ratio,graph_degree,clustering_coefficient,betweenness_centrality,is_fake
acc_16,13,0.463,0,2,0,1,59,513,0.115,1,3.89,0.52,0.29,193,0.0747,0.6,81,0.0059,0.017605,1
acc_17,10,0.053,1,12,1,0,11,37,0.297,41,2.38,8.73,1.63,1459,1.0,0.325,15,0.0,0.000928,0
acc_18,12,0.032,1,121,0,1,833,450,1.851,42,1.88,0.7,1.23,1981,0.0031,0.12,49,0.0051,0.00835,0
acc_19,18,0.715,1,6,0,0,101,2287,0.044,1,0.08,0.26,0.25,187,0.0033,0.692,49,0.0077,0.007466,1
acc_20,13,0.691,0,14,0,1,25,3113,0.008,2,0.63,0.7,0.23,174,0.0535,0.497,43,0.0089,0.01622,1
acc_21,14,0.161,1,129,0,0,294,89,3.303,41,14.12,4.35,6.14,1584,0.0628,0.183,28,0.0132,0.002322,0
acc_22,10,0.542,1,3,0,1,81,1342,0.06,1,0.62,0.13,0.26,16,0.0094,0.486,100,0.0032,0.034862,1
acc_23,13,0.317,0,6,0,0,186,538,0.346,1,0.26,0.04,0.52,116,0.0016,0.736,52,0.006,0.009214,1
acc_24,12,0.028,1,59,0,0,88,561,0.157,48,2.97,19.62,0.51,2362,0.2566,0.085,7,0.0952,0.00056,0
acc_25,17,0.697,1,8,0,1,210,1368,0.154,2,2.19,0.21,0.52,167,0.0114,0.867,81,0.0049,0.025311,1
acc_26,14,0.056,1,94,1,0,70,75,0.933,51,70.23,0.43,0.4,997,1.0,0.252,56,0.0045,0.00927,0
acc_27,10,0.462,1,0,1,1,0,201,0.0,1,0.04,0.19,1.43,77,0.2242,0.731,45,0.0061,0.005526,1
acc_28,9,0.044,1,31,0,1,394,43,9.163,43,0.99,3.9,4.93,1891,0.0124,0.058,30,0.0092,0.004966,0
acc_29,19,0.689,1,3,0,0,54,2888,0.019,0,4.42,0.26,0.41,24,0.0867,0.581,51,0.0078,0.007907,1
acc_30,8,0.12,1,137,1,0,769,299,2.572,41,33.36,3.48,0.88,302,0.0479,0.075,52,0.0038,0.010469,0
acc_31,12,0.631,1,13,0,0,57,2064,0.028,1,0.27,0.5,1.29,54,0.0136,0.859,38,0.0057,0.00616,1
acc_32,5,0.064,1,96,1,1,74,575,0.129,40,27.2,7.62,9.48,2518,0.4705,0.32,27,0.0057,0.005093,0
acc_33,9,0.162,1,78,0,0,169,79,2.139,34,152.92,2.35,2.28,1933,0.9187,0.07,49,0.0068,0.007832,0
acc_34,7,0.117,1,67,0,0,1087,143,7.601,47,15.88,5.37,3.3,2439,0.0195,0.26,87,0.004,0.024793,0
acc_35,12,0.161,1,28,1,1,134,26,5.154,47,7.65,0.54,9.93,2854,0.0611,0.194,17,0.0074,0.00143,0
acc_36,14,0.056,1,48,1,0,401,124,3.234,45,17.83,3.65,3.17,1423,0.0536,0.319,19,0.0117,0.001726,0
acc_37,11,0.109,1,129,0,1,98,474,0.207,59,46.14,10.31,11.09,560,0.576,0.261,26,0.0154,0.004267,0
acc_38,12,0.193,1,58,1,0,708,18,39.333,51,30.34,1.7,5.07,1670,0.0452,0.073,32,0.006,0.003322,0
acc_39,6,0.132,1,102,1,0,1749,652,2.683,44,21.27,2.14,3.93,2052,0.0134,0.336,20,0.0105,0.003189,0
acc_40,12,0.036,1,134,0,1,82,89,0.921,48,33.86,4.79,0.73,2298,0.4714,0.229,9,0.0278,0.000573,0
acc_41,12,0.02,1,45,0,0,750,170,4.412,43,5.42,0.66,1.7,2487,0.0081,0.234,39,0.0067,0.013472,0
acc_42,14,0.77,1,6,0,0,18,1453,0.012,2,0.43,0.34,0.2,90,0.043,0.885,43,0.0022,0.007125,1
acc_43,13,0.661,0,5,0,1,271,208,1.303,1,3.08,0.29,0.21,149,0.0124,0.406,35,0.0067,0.004259,1
acc_44,8,0.583,0,1,0,1,2,931,0.002,2,1.17,0.01,0.86,68,0.5919,0.5,25,0.0133,0.002895,1
acc_45,7,0.071,1,31,0,1,10,32,0.312,54,18.77,0.06,1.95,1133,1.0,0.105,53,0.0022,0.012104,0
acc_46,8,0.121,1,83,0,0,428,78,5.487,40,17.02,7.72,9.14,1083,0.0578,0.131,34,0.0053,0.008992,0
acc_47,13,0.029,1,94,0,1,317,149,2.128,38,4.22,9.98,4.51,405,0.0448,0.106,48,0.0027,0.005475,0
acc_48,11,0.105,1,19,1,1,135,119,1.134,38,4.61,2.92,0.85,2398,0.0558,0.257,27,0.0085,0.001843,0
acc_49,8,0.19,1,52,0,0,57,871,0.065,45,0.85,1.63,0.58,1173,0.0436,0.062,25,0.02,0.003242,0
acc_50,13,0.12,1,103,0,0,292,87,3.356,39,4.17,1.61,4.56,1317,0.0198,0.238,27,0.0028,0.002943,0
acc_51,10,0.156,1,62,1,1,221,861,0.257,48,33.16,0.07,0.65,2303,0.1504,0.269,38,0.0114,0.003294,0
acc_52,14,0.074,1,135,0,1,176,50,3.52,46,25.66,22.65,0.44,598,0.2745,0.169,11,0.0182,0.000699,0
acc_53,11,0.032,1,94,0,0,25,49,0.51,41,42.22,3.56,8.37,2058,1.0,0.123,20,0.0105,0.006282,0
acc_54,12,0.536,0,12,0,0,87,435,0.2,1,2.4,0.12,0.68,57,0.029,0.798,40,0.0026,0.004241,1
acc_55,13,0.103,1,96,0,1,302,102,2.961,38,18.8,9.54,0.83,1081,0.0938,0.057,19,0.0175,0.004524,0
acc_56,9,0.771,0,2,0,0,62,559,0.111,0,0.59,0.31,0.16,177,0.0144,0.831,92,0.0053,0.029422,1
acc_57,18,0.594,0,12,0,1,69,2153,0.032,1,0.63,0.07,0.14,34,0.01,0.618,18,0.0065,0.001026,1
acc_58,9,0.118,1,114,0,0,268,40,6.7,39,17.9,6.68,0.04,370,0.0917,0.309,33,0.0057,0.005306,0
acc_59,12,0.059,1,108,0,1,976,260,3.754,54,0.67,5.33,0.7,796,0.0061,0.314,23,0.0079,0.002262,0
acc_60,12,0.028,0,51,1,0,56,317,0.177,50,13.12,2.12,0.71,2011,0.272,0.291,27,0.0,0.002186,0
acc_61,8,0.187,1,98,0,0,221,241,0.917,48,16.0,0.64,0.69,1395,0.0753,0.241,21,0.0,0.002936,0
acc_62,9,0.081,1,120,1,1,459,253,1.814,41,5.41,4.29,3.08,2694,0.0211,0.286,18,0.0131,0.001847,0
acc_63,9,0.022,1,89,1,1,677,96,7.052,53,5.55,4.69,8.7,2512,0.0151,0.148,3,0.0,0.000107,0
acc_64,14,0.55,1,9,0,1,3,355,0.008,0,1.18,0.03,0.57,103,0.4018,0.776,35,0.0067,0.005708,1
acc_65,11,0.174,1,68,1,1,91,177,0.514,48,35.6,1.47,5.89,2228,0.4073,0.193,21,0.0,0.00197,0
acc_66,9,0.018,1,132,1,0,535,63,8.492,45,21.62,7.06,5.31,551,0.0536,0.33,23,0.0079,0.002125,0
acc_67,6,0.168,1,70,0,1,116,206,0.563,43,1.69,13.02,3.41,2474,0.1268,0.131,14,0.022,0.001371,0
acc_68,6,0.126,1,107,1,0,424,154,2.753,42,14.76,2.94,1.74,1680,0.0417,0.06,17,0.0221,0.001626,0
acc_69,12,0.028,1,63,0,0,274,442,0.62,44,59.56,9.02,5.76,2852,0.2503,0.091,26,0.0062,0.002648,0
acc_70,13,0.009,1,103,0,1,686,131,5.237,42,8.0,2.17,0.74,444,0.0148,0.216,42,0.0,0.006818,0
acc_71,13,0.722,1,6,0,1,104,1226,0.085,2,0.55,0.02,0.68,161,0.0056,0.759,45,0.004,0.008336,1
acc_72,16,0.675,1,13,0,0,10,231,0.043,2,1.17,0.34,0.36,79,0.1512,0.787,20,0.0158,0.00148,1
acc_73,13,0.305,1,9,0,1,19,861,0.022,3,3.97,0.09,0.38,9,0.2141,0.403,42,0.0,0.005423,1
acc_74,19,0.777,0,5,0,1,0,494,0.0,1,0.14,0.06,0.41,183,0.2034,0.512,37,0.012,0.005146,1
acc_75,9,0.195,1,51,0,1,201,107,1.879,41,6.28,6.11,0.39,2090,0.0617,0.087,18,0.0065,0.001889,0
acc_76,19,0.31,1,0,0,1,4,2688,0.001,2,3.85,0.0,0.36,65,0.9629,0.818,35,0.0034,0.006139,1
acc_77,14,0.003,1,144,0,0,80,34,2.353,43,6.1,4.7,0.55,304,0.135,0.184,39,0.0013,0.004562,0
acc_78,9,0.131,1,138,0,0,183,70,2.614,43,11.21,12.46,9.21,727,0.1293,0.104,32,0.0101,0.002825,0
acc_79,14,0.19,1,64,1,0,139,1531,0.091,45,34.66,4.01,1.8,2908,0.2782,0.325,24,0.0,0.001822,0
acc_80,6,0.165,1,52,0,0,940,35,26.857,42,31.76,6.74,1.44,2301,0.041,0.34,24,0.0072,0.004391,0
acc_81,13,0.113,1,50,0,1,77,274,0.281,44,16.63,2.91,1.6,2671,0.2538,0.058,65,0.0029,0.012936,0
acc_82,13,0.063,1,110,0,0,323,36,8.972,39,9.22,7.56,1.52,2223,0.052,0.087,9,0.0833,0.000373,0
acc_83,12,0.069,1,59,1,0,370,775,0.477,54,26.77,0.87,0.55,2328,0.0747,0.23,11,0.0545,0.000896,0
acc_84,4,0.074,1,141,1,1,841,189,4.45,30,21.89,1.03,4.09,2151,0.0273,0.196,35,0.0034,0.003759,0
acc_85,13,0.068,1,91,1,0,280,338,0.828,41,13.1,5.17,4.77,845,0.0652,0.159,28,0.0185,0.004175,0
acc_86,11,0.696,1,13,0,1,93,602,0.154,0,1.03,0.34,0.3,157,0.0147,0.632,28,0.0106,0.002195,1
acc_87,13,0.617,0,8,0,0,45,730,0.062,0,0.96,0.03,0.38,154,0.022,0.879,13,0.0256,0.000789,1
acc_88,4,0.18,1,22,1,1,292,1199,0.244,44,0.78,1.77,1.22,2531,0.0087,0.215,14,0.0,0.002582,0
acc_89,7,0.171,1,21,1,1,26,70,0.371,58,24.07,0.79,0.34,359,0.9559,0.295,19,0.0,0.004476,0
acc_90,8,0.079,1,57,0,0,1461,49,29.816,40,47.13,6.22,0.38,1590,0.0365,0.109,6,0.0,6.8e-05,0
acc_91,8,0.559,1,8,0,1,54,657,0.082,4,0.11,0.39,0.06,190,0.0092,0.806,45,0.0051,0.010288,1
acc_92,8,0.582,1,12,0,1,114,899,0.127,0,0.26,0.38,0.1,125,0.0056,0.733,25,0.0033,0.003772,1
acc_93,16,0.601,0,7,0,0,65,1541,0.042,2,1.41,0.58,0.69,86,0.0307,0.679,28,0.0132,0.00245,1
acc_94,9,0.335,1,6,0,1,66,229,0.288,3,1.61,0.4,0.33,10,0.0305,0.736,39,0.0108,0.004256,1
acc_95,8,0.104,1,135,0,0,609,328,1.857,44,4.25,1.18,5.28,2141,0.0089,0.069,44,0.0063,0.00942,0
acc_96,13,0.093,1,66,0,1,1130,119,9.496,40,1.43,2.38,2.59,1961,0.0034,0.246,19,0.0058,0.000761,0
acc_97,11,0.123,1,62,0,1,352,409,0.861,49,34.87,2.43,1.97,1482,0.106,0.13,34,0.0036,0.00762,0
acc_98,8,0.348,0,8,0,1,47,832,0.056,1,3.82,0.25,0.36,76,0.0865,0.853,36,0.0032,0.003426,1
acc_99,19,0.782,0,5,0,0,25,1722,0.015,1,2.74,0.49,0.09,141,0.1291,0.724,38,0.0028,0.007068,1
acc_100,13,0.144,1,119,0,0,312,199,1.568,49,7.12,5.65,1.93,2238,0.0409,0.259,22,0.0,0.004011,0
acc_101,8,0.199,1,132,0,1,2169,21,103.286,44,75.77,0.36,2.32,2983,0.0351,0.166,16,0.0083,0.002117,0
acc_102,11,0.024,1,86,0,0,3026,50,60.52,39,90.04,23.99,0.1,834,0.0377,0.272,36,0.0032,0.003982,0
acc_103,8,0.08,1,19,0,1,1417,360,3.936,52,71.28,0.8,8.85,1836,0.0509,0.148,28,0.0026,0.002008,0
acc_104,16,0.597,0,14,0,1,12,248,0.048,2,0.88,0.15,0.03,163,0.0858,0.689,22,0.0087,0.002633,1
acc_105,13,0.376,0,5,0,0,16,904,0.018,2,3.19,0.21,0.69,48,0.2129,0.61,27,0.0057,0.002835,1
acc_106,9,0.728,0,9,0,1,99,688,0.144,3,0.17,0.6,0.33,49,0.0078,0.456,42,0.007,0.005315,1
acc_107,12,0.509,1,14,0,0,3,1583,0.002,1,1.4,0.55,0.53,45,0.6487,0.496,21,0.0048,0.001516,1
acc_108,7,0.06,1,118,0,0,189,75,2.52,52,21.36,1.6,0.16,2621,0.1214,0.126,26,0.0,0.004707,0
acc_109,18,0.792,0,7,0,1,50,1361,0.037,0,0.1,0.01,0.1,52,0.002,0.703,15,0.0,0.001231,1
acc_110,9,0.091,1,59,0,1,198,378,0.524,46,17.25,8.74,6.73,2446,0.1313,0.235,29,0.0025,0.001874,0
acc_111,15,0.765,0,5,0,1,7,893,0.008,1,1.04,2.02,0.03,21,0.4363,0.596,21,0.0238,0.001984,1
acc_112,11,0.031,1,64,0,0,219,441,0.497,49,10.48,1.71,4.74,2736,0.0556,0.293,13,0.0,0.00081,0
acc_113,10,0.64,0,9,1,1,0,438,0.0,4,1.55,0.23,0.26,173,1.0,0.428,52,0.003,0.012479,1
acc_114,12,0.171,1,38,0,0,297,1024,0.29,42,6.54,1.94,1.28,2479,0.0286,0.122,14,0.011,0.001347,0
acc_115,11,0.067,1,36,0,1,91,72,1.264,45,0.32,4.18,2.15,1349,0.0494,0.303,33,0.0076,0.003211,0
acc_116,14,0.141,1,91,1,1,82,616,0.133,34,17.56,8.07,0.84,1458,0.3126,0.23,27,0.0028,0.002052,0
acc_117,5,0.05,1,13,1,0,120,69,1.739,36,3.94,6.9,0.45,1338,0.0903,0.145,53,0.0036,0.00763,0
acc_118,19,0.774,1,9,0,1,26,670,0.039,3,2.52,0.28,0.05,119,0.1076,0.404,25,0.0033,0.001607,1
acc_119,5,0.119,1,135,0,1,158,527,0.3,41,39.57,0.51,0.21,867,0.2536,0.116,6,0.0,0.000262,0
acc_120,15,0.739,0,7,0,0,26,1174,0.022,1,0.99,1.12,1.55,3,0.0814,0.622,33,0.0019,0.004245,1
acc_121,12,0.334,0,14,0,1,4,1298,0.003,0,2.07,0.06,0.13,81,0.5322,0.751,19,0.0117,0.003223,1
acc_122,12,0.156,1,101,1,1,827,82,10.085,41,45.44,4.72,13.11,2012,0.0607,0.081,37,0.003,0.007245,0
acc_123,19,0.566,0,8,0,1,16,714,0.022,3,2.0,0.22,0.03,75,0.1386,0.625,15,0.0095,0.00075,1
acc_124,5,0.186,1,29,0,0,58,133,0.436,57,43.04,0.45,4.49,2869,0.7498,0.32,6,0.0667,9.3e-05,0
acc_125,7,0.023,1,102,0,1,699,80,8.738,40,3.12,8.05,2.07,1011,0.016,0.214,15,0.0286,0.00157,0
acc_126,13,0.086,1,96,0,0,11,1143,0.01,35,70.87,7.05,2.95,2062,1.0,0.145,13,0.0,0.000802,0
acc_127,14,0.044,1,56,0,0,295,266,1.109,52,4.18,5.33,0.97,816,0.0322,0.101,10,0.0,0.000383,0
acc_128,10,0.2,1,73,1,1,134,36,3.722,42,3.37,4.57,6.34,626,0.0592,0.089,20,0.0105,0.001348,0
acc_129,10,0.154,1,93,0,0,494,356,1.388,44,19.48,2.53,7.92,2237,0.0446,0.133,14,0.0,0.001032,0
acc_130,7,0.105,1,79,1,1,944,252,3.746,50,12.83,0.24,1.26,450,0.0138,0.247,15,0.0095,0.00221,0
acc_131,4,0.002,1,56,1,0,86,137,0.628,48,9.82,2.19,5.48,2110,0.1396,0.156,29,0.0025,0.003689,0
acc_132,4,0.11,1,30,0,1,6023,205,29.38,48,30.57,4.61,4.2,681,0.0058,0.106,16,0.0083,0.00116,0
acc_133,11,0.395,0,6,0,1,0,240,0.0,3,1.81,0.1,0.01,179,1.0,0.53,18,0.0131,0.002658,1
acc_134,11,0.148,1,144,1,0,58,443,0.131,50,2.82,2.88,1.26,1328,0.0982,0.294,32,0.002,0.002969,0
acc_135,13,0.124,1,91,1,0,560,232,2.414,41,13.2,12.68,0.1,284,0.0462,0.1,13,0.0128,0.001283,0
acc_136,10,0.035,1,54,1,0,422,83,5.084,45,5.55,4.15,0.8,1091,0.023,0.222,27,0.0,0.006339,0
acc_137,5,0.119,1,124,1,1,28,110,0.255,54,103.01,0.92,2.85,1847,1.0,0.214,21,0.0,0.002587,0
acc_138,12,0.773,1,0,0,0,85,527,0.161,3,1.1,0.18,0.66,101,0.0151,0.449,32,0.002,0.004596,1
acc_139,11,0.343,0,1,0,1,38,1104,0.034,2,0.08,0.18,1.11,159,0.0069,0.47,27,0.0028,0.002512,1
acc_140,4,0.033,1,68,1,0,75,71,1.056,53,20.82,2.69,0.74,1215,0.3134,0.143,8,0.0,0.000255,0
acc_141,4,0.02,1,90,1,0,131,1470,0.089,54,0.13,0.71,1.29,2617,0.0064,0.266,14,0.0,0.000585,0
acc_142,7,0.125,1,84,1,0,76,184,0.413,40,256.87,0.95,0.92,1295,1.0,0.121,12,0.0,0.00056,0
acc_143,11,0.101,1,127,1,0,269,129,2.085,45,53.27,0.91,0.91,1084,0.2014,0.153,6,0.1333,0.000265,0
acc_144,6,0.126,1,53,0,0,1263,356,3.548,51,12.78,2.64,0.2,1533,0.0122,0.27,12,0.0152,0.002641,0
acc_145,14,0.072,1,39,0,0,294,149,1.973,44,19.8,6.37,2.71,2943,0.089,0.173,6,0.2,0.000228,0
acc_146,5,0.05,1,94,1,0,42,351,0.12,44,6.64,3.89,6.41,1532,0.2507,0.108,9,0.0,0.000196,0
acc_147,11,0.173,1,137,0,0,263,108,2.435,44,0.26,2.2,3.8,408,0.0094,0.27,16,0.0,0.000888,0
acc_148,10,0.077,1,81,0,1,164,493,0.333,40,38.73,2.38,2.01,1957,0.2506,0.067,12,0.0303,0.000562,0
acc_149,13,0.072,1,139,1,1,2375,100,23.75,47,7.48,2.49,0.85,2297,0.0042,0.3,27,0.0057,0.001748,0
acc_150,9,0.19,1,108,1,1,53,128,0.414,57,7.02,1.44,0.16,1077,0.1595,0.306,23,0.0079,0.004093,0
acc_151,5,0.142,1,140,0,1,49,386,0.127,47,118.18,0.77,3.13,2878,1.0,0.137,22,0.013,0.002759,0
acc_152,7,0.155,1,72,0,0,136,149,0.913,43,26.67,22.08,4.84,208,0.3585,0.122,35,0.0034,0.004227,0
acc_153,9,0.008,1,52,0,0,62,430,0.144,53,137.38,4.2,4.06,1640,1.0,0.237,17,0.0,0.001618,0
acc_154,13,0.18,1,74,0,1,1523,91,16.736,45,83.42,0.37,8.27,255,0.055,0.294,7,0.0,0.001624,0
acc_155,9,0.4,1,13,0,1,10,870,0.011,2,1.02,1.22,0.38,11,0.224,0.472,32,0.002,0.00244,1
acc_156,5,0.14,0,11,1,1,253,109,2.321,44,2.62,4.61,2.1,1229,0.0286,0.196,36,0.0048,0.003553,0
acc_157,12,0.164,1,14,1,1,87,153,0.569,47,56.98,6.81,11.58,1618,0.7333,0.112,15,0.0,0.000899,0
acc_158,11,0.151,1,25,0,0,523,102,5.127,36,3.73,3.9,1.32,1189,0.0146,0.259,21,0.0,0.003827,0
acc_159,8,0.62,0,8,0,1,24,632,0.038,0,0.68,0.18,0.06,29,0.0359,0.779,14,0.011,0.000729,1
acc_160,4,0.016,1,32,0,1,11,324,0.034,53,22.35,2.7,5.63,1733,1.0,0.226,17,0.0074,0.001411,0
acc_161,9,0.115,1,129,0,0,173,99,1.747,60,6.47,2.47,1.1,771,0.0517,0.257,32,0.004,0.004236,0
acc_162,10,0.572,0,11,0,1,19,460,0.041,1,0.65,0.39,0.04,181,0.0547,0.411,30,0.0046,0.002284,1
acc_163,10,0.545,0,6,0,0,67,242,0.277,3,2.57,0.12,1.18,106,0.04,0.534,22,0.0087,0.001749,1
acc_164,15,0.417,0,7,1,1,23,2254,0.01,2,2.15,1.36,0.15,106,0.1525,0.664,27,0.0114,0.001397,1
acc_165,8,0.022,1,20,1,1,20,162,0.123,37,16.5,5.65,2.33,2125,1.0,0.144,14,0.011,0.002014,0
acc_166,11,0.351,0,1,0,1,38,709,0.054,2,2.83,0.03,0.01,137,0.0751,0.873,20,0.0053,0.000864,1
acc_167,6,0.01,1,84,0,1,101,224,0.451,53,12.54,1.15,1.4,1463,0.1355,0.069,18,0.0065,0.000996,0
acc_168,11,0.081,1,110,1,0,24,107,0.224,42,75.87,0.04,6.42,1440,1.0,0.149,15,0.0095,0.001295,0
acc_169,10,0.102,1,79,0,0,436,66,6.606,48,97.03,4.71,0.51,500,0.2333,0.326,12,0.0,0.000793,0
acc_170,12,0.191,1,148,1,0,65,27,2.407,30,4.61,2.05,1.3,2488,0.1024,0.081,15,0.019,0.000674,0
acc_171,5,0.031,1,35,0,1,75,271,0.277,42,34.63,0.52,12.79,2181,0.4686,0.156,10,0.0222,0.00058,0
acc_172,12,0.116,1,76,0,0,65,23,2.826,43,8.5,1.0,3.92,2748,0.1461,0.277,8,0.0357,0.000277,0
acc_173,5,0.034,1,34,1,0,45,128,0.352,42,17.9,3.19,2.9,392,0.4687,0.252,12,0.0152,0.000313,0
acc_174,8,0.741,0,5,0,1,92,755,0.122,1,0.72,0.31,0.22,111,0.0112,0.433,10,0.0222,0.000334,1
acc_175,4,0.167,1,110,1,1,293,481,0.609,52,2.26,1.94,1.76,2003,0.0143,0.31,17,0.0,0.000752,0
acc_176,11,0.193,1,129,1,1,60,418,0.144,48,16.27,0.07,3.64,986,0.2723,0.196,4,0.0,0.000114,0
acc_177,4,0.033,1,101,0,0,125,464,0.269,45,10.99,1.3,8.13,1408,0.0983,0.223,10,0.0222,0.001908,0
acc_178,12,0.342,1,2,0,1,22,267,0.082,2,1.26,0.02,0.02,11,0.0579,0.593,20,0.0053,0.001362,1
acc_179,7,0.102,1,65,0,0,23,106,0.217,40,36.84,6.96,1.62,1283,1.0,0.31,7,0.0,0.000168,0
acc_180,14,0.14,1,112,0,0,680,168,4.048,44,39.19,0.27,1.88,836,0.058,0.212,5,0.0,8.3e-05,0
acc_181,5,0.116,1,42,1,1,473,122,3.877,56,1.41,5.41,5.27,2467,0.0144,0.066,12,0.0152,0.001154,0
acc_182,9,0.12,1,98,1,1,265,850,0.312,52,36.62,5.2,3.01,2564,0.1578,0.347,3,0.0,1.7e-05,0
acc_183,18,0.465,0,9,0,1,79,899,0.088,3,1.07,0.11,0.69,159,0.0149,0.576,23,0.004,0.001526,1
acc_184,10,0.079,1,149,1,1,104,344,0.302,55,14.35,3.53,0.33,389,0.172,0.166,17,0.0,0.000777,0
acc_185,12,0.054,1,95,1,0,85,145,0.586,47,16.66,12.35,6.22,1993,0.3413,0.056,14,0.0,0.000845,0
acc_186,14,0.131,1,46,0,1,94,144,0.653,46,201.6,2.25,1.16,2928,1.0,0.172,14,0.0,0.003673,0
acc_187,9,0.137,1,137,1,1,698,81,8.617,31,2.56,10.87,4.36,2186,0.0192,0.116,7,0.0,0.000314,0
acc_188,18,0.624,1,13,0,1,48,821,0.058,3,1.04,1.06,0.06,146,0.0437,0.646,29,0.0099,0.002026,1
acc_189,14,0.085,1,149,0,1,113,37,3.054,44,18.55,0.63,2.23,2832,0.1697,0.11,14,0.0,0.004139,0
acc_190,8,0.792,1,8,0,1,73,2173,0.034,2,3.05,0.56,0.8,159,0.0495,0.827,26,0.0,0.001865,1
acc_191,5,0.042,1,43,0,0,116,253,0.458,42,28.31,9.28,7.82,752,0.324,0.116,18,0.0065,0.001227,0
acc_192,12,0.05,1,116,0,1,479,87,5.506,64,23.9,0.36,2.46,2854,0.0506,0.122,16,0.0167,0.001472,0
acc_193,13,0.088,1,86,0,0,433,25,17.32,54,32.77,2.07,3.39,1879,0.0804,0.296,22,0.0043,0.002424,0
acc_194,8,0.112,1,98,1,0,47,123,0.382,52,16.52,10.39,2.1,2502,0.5726,0.333,5,0.0,0.00016,0
acc_195,13,0.343,1,13,0,1,16,430,0.037,1,2.38,0.29,0.33,48,0.1664,0.855,11,0.0182,0.001318,1
acc_196,19,0.426,1,0,0,1,144,390,0.369,2,3.41,0.69,0.76,119,0.0285,0.835,14,0.0,0.000428,1
acc_197,13,0.121,1,74,0,1,125,44,2.841,45,4.21,2.09,1.99,1309,0.0503,0.28,24,0.0,0.005061,0
acc_198,7,0.057,1,21,0,1,62,114,0.544,48,35.7,1.65,7.12,2927,0.6024,0.253,21,0.0,0.001447,0
acc_199,6,0.12,1,65,0,0,709,226,3.137,34,13.53,0.79,0.82,1246,0.0202,0.125,39,0.0027,0.005415,0
acc_200,9,0.013,1,74,0,0,1246,68,18.324,55,14.12,5.46,0.49,1489,0.0157,0.134,19,0.0117,0.001386,0
acc_201,15,0.704,0,7,0,1,46,792,0.058,1,0.6,0.63,0.7,163,0.0268,0.555,17,0.0,0.000808,1
acc_202,8,0.106,1,51,0,0,590,50,11.8,52,47.27,4.34,1.32,2861,0.0875,0.165,17,0.0,0.000521,0
acc_203,4,0.114,1,61,0,0,395,229,1.725,40,9.03,1.66,2.07,2227,0.027,0.263,12,0.0,0.000658,0
acc_204,13,0.171,1,57,0,0,867,70,12.386,33,19.53,3.63,0.28,2801,0.0267,0.055,13,0.0128,0.000624,0
acc_205,4,0.172,1,91,0,0,437,58,7.534,49,76.79,2.33,0.46,1670,0.1811,0.287,10,0.0,0.000464,0
acc_206,6,0.172,1,74,1,0,115,208,0.553,45,6.7,13.18,0.58,1365,0.1728,0.35,18,0.0065,0.00151,0
